,SITE,LOC,nzreach,CATCHAREA,GaugeNumber,LargestLakeInletNZREACH
62104,62104,The Ribble at Airstrip -Rating,13009131,21122100,62104,NA
62105,62105,Clarence at Jollies -Ratings,13010715,439773408,62105,NA
62106,62106,Clarence at Glen Alton -Rating,13002228,3143257344,62106,NA
63101,63101,Middle Ck at No 1 SHB -Ratings,13008570,25238700,63101,NA
63501,63501,Rosy Morn at Weir -Ratings,13010740,1810930.62,63501,NA
64301,64301,Conway at Hundalee -Ratings,13014826,465365376,64301,NA
64601,64601,Waiau at Leslie Hills -Ratings,13016907,2078651520,64601,NA
64602,64602,Waiau at Marble Point -Ratings,13015625,2027466240,64602,NA
64606,64606,Waiau at Malings Pass -Ratings,13004591,73628104,64606,NA
64609,64609,Waiau at Mouth -River level,13020035,3328196352,64609,NA
64610,64610,Stanton at Cheddar Valley -Rat,13015628,40586400,64610,NA
65104,65104,Hurunui at Mandamus -Ratings,13020391,1059311040,65104,NA
65105,65105,Hurunui at Jollie Brook -River,13020709,479509248,65105,NA
65108,65108,Hurunui Sth Branch at No 2 Hut,13017914,177486224,65108,NA
65109,65109,S Branch Hurunui at Esk Head -,13021694,304986560,65109,NA
65110,65110,Pahau at Grampians -River leve,13019016,107510416,65110,NA
65901,65901,Waipara at White Gorge -River,13029804,367464512,65901,NA
65904,65904,Waipara at Teviotdale -River l,13031694,716424384,65904,NA
6602,6602,Glen Eden at Hitchings Farm -R,2001552,15304755,6602,NA
66204,66204,Ashley at Gorge -River level,13036019,469387840,66204,NA
66207,66207,Stony Ck at Forbes Rd -River l,13036174,6281100,66207,NA
66208,66208,Stony Ck Sth at Sawbench Rd -R,13035884,2666700,66208,NA
66209,66209,Stony Ck Nth at Stony Ck Rd -R,13035804,2042100,66209,NA
66210,66210,Ashley at Lees Valley -River l,13031330,120446128,66210,NA
66213,66213,Okuku at Fox Ck -River level,13032917,220865344,66213,NA
66214,66214,Ashley at Rangiora Traffic Br,13037840,1125125120,66214,NA
66216,66216,Taranaki Ck at Gressons Rd Cul,13038550,8712900,66216,NA
66401,66401,Waimakariri at Old Highway Bge,13041967,3104887552,66401,NA
66405,66405,Camp Stream at Craigieburn -Ra,13032706,1134000,66405,NA
66407,66407,Southbrook Spring at Schluters,13038816,6167700,66407,NA
66412,66412,Kowai West Branch at Benmore -,13039169,20343600,66412,NA
66413,66413,Kowai at SH73 -Ratings,13039091,34825500,66413,NA
66414,66414,Greigs Drain at Taylors Rd Cul,13042375,1677600,66414,NA
66415,66415,Silverstream at Harpers Rd Cul,13042654,5572800,66415,NA
66417,66417,Cust Main Drain at Threlkelds,13040476,200732352,66417,NA
66419,66419,Bealey at Arthurs Pass -Rating,13025450,15957000,66419,NA
66425,66425,Styx at Radcliffe Rd -Ratings,13044123,18933300,66425,NA
66435,66435,Ohoka Spring at Dalleys Weir -,13040813,51589800,66435,NA
66602,66602,Avon at Gloucester St Br -Rati,13046232,119489376,66602,NA
66604,66604,Hoon Hay Stm at Hoon Hay Weir,13048670,3454200,66604,NA
66629,66629,Sumner Drain at Wiggins St -Ra,13047886,684000,66629,NA
66632,66632,Okeover at Clyde Rd -River lev,13046031,78610504,66632,NA
66901,66901,Pigeon Bay Stream at Fish Trap,13051411,26734890,66901,NA
67001,67001,Opara (Okains) at Friesian Stu,13052190,21768300,67001,NA
67402,67402,Aylmers Stream at Upstream Cou,13056360,2394900,67402,NA
67408,67408,French Farm at French Farm Val,13054535,6651900,67408,NA
67601,67601,Reynolds at Brankins Br -Ratin,13055031,3654000,67601,NA
67602,67602,Huka Huka at lathams Bridge-ra,13053220,11059200,67602,NA
67702,67702,Kaituna at Kaituna Valley Rd -,13053639,39886200,67702,NA
67805,67805,Halswell at Ryans Bge -River l,13050073,240174880,67805,NA
68001,68001,Selwyn at Whitecliffs -River l,13043804,164510976,68001,NA
68002,68002,Selwyn at Coes Ford -River lev,13051729,958458624,68002,NA
68003,68003,Selwyn at Ridgens Rd -River le,13048988,560593728,68003,NA
68320,68320,Doyleston Drain at d/s The Lak,13054170,21001500,68320,NA
68322,68322,Harts Ck at Timber Yard Rd -Ra,13055397,391455136,68322,NA
68502,68502,Rakaia at Gorge -River level,13046130,2580769792,68502,NA
68511,68511,Wilberforce at Woolshed Hill *,13038522,1020894272,68511,NA
68512,68512,Wilberforce at Mt Algidus -Ra*,13037639,1005302336,68512,NA
68515,68515,Ramsay at Lake Ramsay -River l,13038317,32726700,68515,NA
68519,68519,Glenariffe at Old ESG Site -Ra,13039079,64792800,68519,NA
68520,68520,Lake Stream at Swingbridge -Ri,13041833,300070144,68520,NA
68526,68526,Rakaia at Fighting Hill -River,13045745,2555512064,68526,NA
68529,68529,Dry Acheron at Water Race -Riv,13041936,6761700,68529,NA
68530,68530,Rakaia at Cones -Ratings,13039065,38106900,68530,NA
68541,68541,Harper at Cockayne -Ratings,13033305,76056304,68541,NA
68543,68543,Glenariffe at Main Rd Br -Rati,13039079,64792800,68543,NA
68801,68801,Ashburton at SHBr -River level,13058883,1516456320,68801,NA
68805,68805,Sth Ashburton at Valetta -Rat*,13053605,69798592,68805,NA
68806,68806,Sth Ashburton at Mt Somers -Ra,13050823,536137856,68806,NA
68810,68810,Nth Ashburton at Old Weir -Rat,13047890,276158592,68810,NA
68817,68817,Woolshed Ck at Mt Somers -Rati,13051360,36490500,68817,NA
68818,68818,Bowyers Stm at Staveley -Ratin,13049838,23714100,68818,NA
68820,68820,Pudding Hill Stm at SH72 -Riv*,13048978,39168000,68820,NA
68822,68822,Bowyers Stm at SH72 -Ratings,13051517,61253100,68822,NA
69101,69101,Hinds Sth Branch at RDR Syphon,13055601,64659600,69101,NA
6922,6922,Awana at Bush Edge -Ratings,2000372,8031840,6922,NA
69302,69302,Rangitata at Klondyke -Ratings,13054389,1468574208,69302,NA
69506,69506,Orari at Silverton -River leve,13059407,522492480,69506,NA
69508,69508,Ohapi Ck at Brown Rd -River le,13064439,27987300,69508,NA
69513,69513,Coopers Ck at U/S Orari confl*,13063777,73529104,69513,NA
69514,69514,Orari at U/S Ohapi Ck confluen,13064446,713626624,69514,NA
69515,69515,Coopers Ck at SH72 -River leve,13061028,49491000,69515,NA
69601,69601,Temuka at SHBr -Ratings,13064615,596527296,69601,NA
69607,69607,Opihi at No1 SHB -River level,13064793,1744519680,69607,NA
69614,69614,Opuha at Skipton -River level,13062111,457680832,69614,NA
69618,69618,Opihi at Rockwood -River level,13063543,412574944,69618,NA
69619,69619,Sth Opuha at Stoneleigh Rd -Ra,13060331,115386096,69619,NA
69621,69621,Rocky Gully at Rockburn -River,13065489,22797900,69621,NA
69633,69633,Kakahu at Mitchell's Weir No 9,13062064,2806200,69633,NA
69634,69634,Kakahu at Turnbulls Weir No 10,13062396,4908600,69634,NA
69635,69635,Tengawai at Picnic Grounds -Ri,13065220,488225792,69635,NA
69641,69641,Opihi at Waipopo -Ratings,13064842,2374113536,69641,NA
69643,69643,Waihi at Waimarie -Ratings,13060742,39942000,69643,NA
69644,69644,Te Moana at Glentohi -Ratings,13061335,68029200,69644,NA
69645,69645,Kakahu at Mulvihills -Ratings,13062892,43169400,69645,NA
69649,69649,Waihi at DOC Reserve -Ratings,13060741,29821500,69649,NA
69683,69683,Waihi at SH79 Br -Ratings,13062124,91857640,69683,NA
69903,69903,Otipua at Scenic Reserve -Rati,13066011,14166000,69903,NA
7,7,Taupo Stream at Flax Swamp,9009031,8200000,7,NA
70105,70105,Pareora at Huts -Ratings,13066248,426249056,70105,NA
70303,70303,Otaio at Gorge -Ratings,13067076,46744200,70303,NA
70703,70703,Hook at Beach Rd -Ratings,13068187,71820896,70703,NA
70902,70902,Waihao at McCulloughs Br -Rati,13069160,482665440,70902,NA
70906,70906,Wainono Dead Arm at Poingdestr,13068567,1374300,70906,NA
70908,70908,Buchanans Ck at Fletchers -Ri*,13068955,16993800,70908,NA
71102,71102,Otekaieke at Stockbridge -Rati,13523674,80027296,71102,NA
71103,71103,Hakataramea at Above MHBr -Rat,13521044,897088960,71103,NA
71104,71104,Waitaki at Kurow -River level,13520741,9721076736,71104,NA
71105,71105,Awakino at SH83 -Ratings,13520740,68795992,71105,NA
71106,71106,Maerewhenua at Kellys Gully -R,13524490,187072160,71106,NA
71108,71108,Waitaki at Parson's Rock -Rive,13519439,9122781184,71108,NA
71109,71109,Otematata at Pumphouse -Rating,13519504,652766528,71109,NA
71114,71114,Fraser at Ben Ohau -River leve,13511178,75671984,71114,NA
71116,71116,Ahuriri at Sth Diadem -Ratings,13516879,567361088,71116,NA
71117,71117,Twizel at Lake Poaka -River le,13510847,107399696,71117,NA
71118,71118,Quail Burn at QuailBurn Rd -R*,13515416,86901296,71118,NA
71119,71119,Ohau at SHBr -River level,13512437,1409560576,71119,NA
71121,71121,Twizel at SHBr -Ratings,13511847,152919904,71121,NA
71122,71122,Mary Burn at Mt MacDonald -Riv,13508405,48935700,71122,NA
71125,71125,Hooker at Ball Hut Rd Br -Rive,13503195,104483552,71125,NA
71127,71127,Mary Burn at Maryhill -River l,13509370,90837024,71127,NA
71128,71128,Irishman at Windy Ridge -River,13508633,151305280,71128,NA
71129,71129,Forks at Balmoral -River level,13506748,107225088,71129,NA
71134,71134,Pukaki at Wardells -River leve,13510609,1355393024,71134,NA
71135,71135,Jollie at Mt Cook Stn -River l,13504695,140838320,71135,NA
71136,71136,Omarama at Wardells Br -Rating,13517098,298313632,71136,NA
71154,71154,Homestead Ck at Haughs Gorge -,13520055,40292672,71154,NA
71167,71167,Otekaieke at Gorge -River leve,13523657,81032592,71167,NA
71170,71170,Awamoko at Georgetown -Ratings,13523813,115645968,71170,NA
71175,71175,Outlet Ck at Lake Alexandrina,13505989,46880100,71175,NA
71178,71178,Otekaieke at Weir -Ratings,13523657,81032592,71178,NA
71179,71179,Omarama at Tara Hills -Ratings,13517974,185832448,71179,NA
71182,71182,Omarama Swamp at Outlet -Rati*,13518160,143737792,71182,NA
71189,71189,Omarama at Above Tara Hills -R,13517974,185832448,71189,NA
71191,71191,Waikakahi Stream at Old Ferry,13523679,130031888,71191,NA
71194,71194,Ohau at below Syphon -Ratings,13512376,1136017792,71194,NA
71702,71702,Kakanui at Clifton Falls -Riv*,14026079,294302848,71702,NA
72003,72003,Nth Waianakarua -Ratings,14037012,131659136,72003,NA
72004,72004,Waianakarua at D/S Confluence,14037731,258944368,72004,NA
72005,72005,Nth Waianakarua at D/S Weir -R,14037272,132864224,72005,NA
72601,72601,Shag at Dunback Domain -Rating,14044551,387298016,72601,NA
74313,74313,Taieri at Waipiata -River leve,14035378,1834056192,74313,NA
74315,74315,Taieri at McAtamneys -River le,14045675,643656064,74315,NA
74316,74316,Taieri at Paerau -River level,14046197,593745920,74316,NA
74318,74318,Taieri at Canadian Flat -River,14050626,159450208,74318,NA
74338,74338,Sutton Stm at SH87 -Ratings,14052240,151444800,74338,NA
74339,74339,Silverstream at Pumphouse -Ra*,14059058,28113300,74339,NA
74340,74340,Powder Ck at Walking Track -Ra,14058904,9734400,74340,NA
74343,74343,Lee Stm at Road Br -Ratings,14058509,99852336,74343,NA
74344,74344,3 O'clock Stm at Main Site -Ri,14051904,46765800,74344,NA
74346,74346,Loganburn at Paerau -River lev,14047084,148238112,74346,NA
74347,74347,Loganburn at Gorge -Ratings,14047084,148238112,74347,NA
74351,74351,Deep Stm at Totara Rock -Ratin,14055072,101140208,74351,NA
74352,74352,Deep Stm at Rocklands -Ratings,14055140,186811216,74352,NA
74353,74353,Gimmerburn at Rough Ridge -Rat,14032461,23886900,74353,NA
74361,74361,Jura Ck at Jura Rd -River leve,14064503,2392200,74361,NA
74362,74362,Storm Ck at Storm Rd -River le,14064413,1233000,74362,NA
74363,74363,Tussockburn at Old Mine -Ratin,14059275,2474100,74363,NA
74364,74364,Vollweillerburn at Berridale -,14065491,1669500,74364,NA
74365,74365,Anonymous Ck at Mahinerangi -R,14059555,3879000,74365,NA
74366,74366,Eighty Ck at School Rd -River,14058327,4182300,74366,NA
74367,74367,Deep Ck at Muster Huts -Rating,14055559,1845900,74367,NA
74368,74368,Elbow Ck at Muster Huts -River,14055808,922500,74368,NA
74369,74369,Poisonous Ck at Lammermoor Rd,14053492,2599200,74369,NA
74370,74370,Sentinel Ck at Sentinel Rocks,14051688,1566000,74370,NA
74392,74392,Kyeburn at Danseys Pass -Ratin,14023029,9225838,74392,NA
74393,74393,Timber Ck at Danseys Pass -Ra*,14022626,21645382,74393,NA
74394,74394,Kyeburn at Danseys Hotel -Rati,14024359,63045192,74394,NA
74701,74701,Nobles Stm at Bull Ck Rd -Rive,14068558,11448900,74701,NA
75207,75207,Clutha at Balclutha -River lev,14070057,20503570432,75207,NA
75214,75214,Clutha at Lowburn -Ratings,14026689,6112011264,75214,NA
75217,75217,Clutha at Lake Wanaka Outlet -,14012580,2576090112,75217,NA
75218,75218,Lindis at Crossing Br -River l,14020495,1012634368,75218,NA
75223,75223,East Back at E2 -River level,14065050,8807400,75223,NA
75227,75227,West Back at E1 -River level,14065005,24617700,75227,NA
75232,75232,Pomahaka at Burkes Ford -Ratin,14066561,1871242880,75232,NA
75236,75236,Minzionburn at Barclays -Ratin,14056204,48100500,75236,NA
75249,75249,Chatto Ck at Above Borough Rac,14031959,112666496,75249,NA
75251,75251,Manuherikia at D/S Forks -Rati,14015200,172812992,75251,NA
75253,75253,Manuherikia at Ophir -Ratings,14031628,2137030912,75253,NA
75258,75258,Idaburn N Branch at Race -Rive,14021176,13293083,75258,NA
75259,75259,Fraser at Old Man Range -River,14037789,118351936,75259,NA
75260,75260,Fraser at Marshall Rd Br -Rat*,14039213,327241696,75260,NA
75265,75265,Nevis at Wentworth Stn -Rating,14030193,693720576,75265,NA
75272,75272,Arrow at Beetham Ck -Ratings,14025218,205296336,75272,NA
75273,75273,Arrow at Tobins Track -Ratings,14023971,198623728,75273,NA
75276,75276,Shotover at Bowens Peak -River,14026862,1063830848,75276,NA
75278,75278,Shotover at 16 Mile Gorge -Ra*,14013329,168129984,75278,NA
75279,75279,Shotover at Strohlers -River l,14017686,561268736,75279,NA
75287,75287,Hawea at Camphill Br -River le,14011901,1403708032,75287,NA
75290,75290,Cardrona at Albert-town -River,14013360,347129984,75290,NA
75292,75292,Lake Wanaka at Roys Bay -River,14012580,2576090112,75292,NA
75293,75293,Cardrona at Mt Barker-ratings,14015751,293055200,75293,NA
75294,75294,Matukituki at West Wanaka -Riv,14011802,800321152,75294,NA
7602,7602,Wairau at Alma Rd -River level,2004975,12605558,7602,NA
7607,7607,Wairau at Chartwell -River lev,2005045,2666725.5,7607,NA
77518,77518,Mataura at Mataura Island -Rat,15059279,5149195264,77518,NA
77523,77523,Waikaka at Willowbank Br -Rive,15046504,305835808,77523,NA
77526,77526,Wyndham Stm at Glenham Br -Ri*,15058284,417711552,77526,NA
7837,7837,Rangitopuni at Rols -Ratings,2004555,1296900,7837,NA
7840,7840,Rangitopuni at Control -River,2004550,234900,7840,NA
78503,78503,Waihopai at Kennington -River,15059597,159681600,78503,NA
78602,78602,Oreti at McKellar's Flat -Rati,15016693,134107056,78602,NA
78633,78633,Makarewa at Freezing Works Br,15057697,1059759424,78633,NA
79701,79701,Waiau at Tuatapere -Ratings,15052505,8102557184,79701,NA
79703,79703,Waiau at Lake Manapouri -Ratin,15028337,4478706176,79703,NA
79705,79705,Waiau at Above Horseshoe Bend,15024270,3106675968,79705,NA
79708,79708,Waiau at Queens Reach -Ratings,15024270,3106675968,79708,NA
79717,79717,Mararoa at Mt York -Ratings,15028288,1205982080,79717,NA
79730,79730,Waiau at Monowai Powerhouse -R,15037469,6594114560,79730,NA
79731,79731,Waiau at D/S Mararoa -Ratings,15030310,5785925120,79731,NA
79733,79733,Waiau at Whare Ck -River level,15031090,5844334592,79733,NA
79734,79734,Waiau at Excelsior Ck -Ratings,15030537,5786865664,79734,NA
79735,79735,Waiau at Sunnyside -River leve,15038276,6610090496,79735,NA
79736,79736,Mararoa at Above Weir -River l,15029370,1216198912,79736,NA
79740,79740,Spey at West Arm Lake Manapour,15027181,95925600,79740,NA
79750,79750,Morley at Ohai -Ratings,15043345,79111808,79750,NA
8,8,Horokiri Stream at Snodgrass,9009035,28800000,8,NA
8001,8001,Rewarewa at Gardeners Ave -Riv,2006150,1611382.75,8001,NA
802,802,Selwyn Swamp at Big Flat Rd -*,1001912,4367700,802,NA
80201,80201,Rowallan Burn at Old Mill -Rat,15053056,68565600,80201,NA
80901,80901,Wairaurahiri at Lake Hauroko -,15051388,554631040,80901,NA
81301,81301,Waitutu at Lake Poteriteri -Ra,15055512,410737632,81301,NA
8203,8203,Manukau at Somervilles -Rating,2006235,297472.97,8203,NA
8207,8207,Pakuranga at Mooneys Br -Ratin,2006039,2769147,8207,NA
84701,84701,Cleddau at Milford -Ratings,15003654,138948208,84701,NA
85101,85101,Pyke at Lake Wilmot -River lev,15000918,192181632,85101,NA
8604,8604,Orere at Br -River level,2006862,40801380,8604,NA
86301,86301,Arawata at County Br -River le,12054298,909228736,86301,NA
86802,86802,Haast at Roaring Billy -River,12052272,1025602688,86802,NA
87301,87301,Moeraki at Lake Moeraki -River,12048741,96762592,87301,NA
8760,8760,Lake Ohau,13512476,1133866752,8760,13510241
8770,8770,Lake Pukaki,13510553,1353308288,8770,13505349
87801,87801,Makawhio at Rocks -Ratings,12046444,136171776,87801,NA
8790,8790,Lake Tekapo,13507315,1427052928,8790,13503662
89103,89103,Lake Wahapo at Lake -Lake leve,12042022,90945912,89103,NA
89202,89202,Waitangi-Roto at Mid Roto -Rat,12040647,12121200,89202,NA
89301,89301,Whataroa at SHB -Ratings,12042448,451409440,89301,NA
89601,89601,Poerua at Lower Gorge -River l,12039621,156716064,89601,NA
9,9,Porirua Stream at Town Centre,9010499,44800000,9,NA
90101,90101,Waitaha at SHBr -River level,12037649,221672624,90101,NA
90102,90102,Ivory at Ripplerock -Ratings,12039969,2269800,90102,NA
90603,90603,Hokitika at Whitcombe -Ratings,12037477,348261120,90603,NA
90604,90604,Hokitika at Colliers Ck -River,12037477,348261120,90604,NA
90605,90605,Butchers Ck at Lake Kaniere Rd,12034181,4164300,90605,NA
90607,90607,Cropp at Gorge -Ratings,12039075,12344400,90607,NA
90612,90612,Hokitika at Gorge -Ratings,12037213,357029920,90612,NA
91101,91101,Taramakau at Gorge -River leve,12031957,865716288,91101,NA
91103,91103,Taipo at SHBr -Ratings,12033649,183085984,91103,NA
91104,91104,Taramakau at Greenstone Br -Ri,12031529,877228032,91104,NA
9130,9130,Lake Wakatipu,14028892,3040701184,9130,14020119
91401,91401,Grey at Dobson -River level,12028095,3820530944,91401,NA
91403,91403,Grey at New Waipuna -River lev,12025991,642062272,91403,NA
91404,91404,Grey at Waipuna -Ratings,12025991,642062272,91404,NA
91407,91407,Ahaura at Gorge -Ratings,12027541,817290496,91407,NA
91411,91411,Pattinson Ck at Weir Site 1 -R,12020721,1575900,91411,NA
91412,91412,Pattinson Creek at weir site 2,12020721,1575900,91412,NA
91413,91413,Pattinson Ck at Weir Site 3 -R,12020727,1302300,91413,NA
91421,91421,Sams at Mine -River level,12031015,7212600,91421,NA
91423,91423,Granity at Berrys -River level,12024314,7594200,91423,NA
91424,91424,Slaty at Liddells -River level,12023873,15620400,91424,NA
9150,9150,Lake Wanaka,14012639,4670100,9150,14003602
9170,9170,Lake Hawea,14010751,1389902720,9170,14003081
9177,9177,Waitakaruru Trib at Scotsmans,3017886,423000,9177,NA
9228,9228,Waiorongomai at Old Quarry -R*,3013239,8718300,9228,NA
92602,92602,Tiropahi at SHB -Ratings,12016055,42558300,92602,NA
92701,92701,Deep Ck at Upper Lake Outlet -,12015674,1252800,92701,NA
92801,92801,Nile at Below Awakari -Ratings,12015007,113322624,92801,NA
92901,92901,Totara at Gorge -River level,12013844,27332100,92901,NA
93001,93001,Okari at Deep Ford -Ratings,12012103,48962700,93001,NA
93101,93101,Bradshaws at Brunnings Rd Br -,12010321,23484600,93101,NA
93202,93202,Buller at Longford -River leve,12010223,1401421312,93202,NA
93203,93203,Buller at Te Kuha -Ratings,12012479,6305577472,93203,NA
93204,93204,Buller at Berlins -Ratings,12012943,5906702848,93204,NA
93206,93206,Inangahua at Landing -River le,12014608,993491264,93206,NA
93207,93207,Inangahua at Blacks Pt -River,12020364,233407728,93207,NA
93209,93209,Maruia at Falls -Ratings,12013045,983158080,93209,NA
93211,93211,Matakitaki at Mud Lake -River,12012639,878325504,93211,NA
93212,93212,Mangles at Gorge -River level,12011819,284877824,93212,NA
93213,93213,Gowan at Lake Rotoroa -Ratings,12011016,370231040,93213,NA
93214,93214,Matiri at Lake Outlet -Ratings,12008028,141066336,93214,NA
93216,93216,Buller at Lake Rotoiti -River,12010997,193231424,93216,NA
93217,93217,Glenroy at Blicks -River level,12018739,200313808,93217,NA
93231,93231,Devils Ck at McLellans -Rating,12020868,10161000,93231,NA
93235,93235,Rough at Track -Ratings,12026334,5245200,93235,NA
93236,93236,Victoria at West Bank -Ratings,12023801,8618400,93236,NA
93601,93601,Waimangaroa at Conns Flat -Rat,12009271,45779400,93601,NA
93602,93602,Waimangaroa at Smokestack -Rat,12010014,18504900,93602,NA
93901,93901,Ngakawau at Lineslip -Ratings,12007170,188783984,93901,NA
93902,93902,T35 at Mt Stockton -Ratings,12008146,2571300,93902,NA
93903,93903,Charming Ck at Above Mine -Rat,12006800,8189100,93903,NA
93904,93904,Charming Ck at Loggers Flat -R,12007055,27049500,93904,NA
93905,93905,Mangatini at Repo Basin -River,12007466,10669500,93905,NA
93906,93906,Repo at Rock Weir -Ratings,12007436,4941900,93906,NA
94302,94302,Mokihinui at Burkes Ck -Rating,12006374,681493312,94302,NA
94303,94303,Mokihinui at Welcome Bay -Rive,12006282,670180288,94303,NA
95101,95101,Karamea at Arapito -Ratings,12003325,1189501824,95101,NA
95102,95102,Karamea at Gorge -Ratings,12003174,1163352064,95102,NA
9570,9570,Lake Te Anau,15022519,3082281472,9570,15007327
1043482,1043482,Mangatoetoenui at Footbridge -Ratings,3050437,NA,1043482,NA
14621,14621,Kaituna at Te Akau -River level,4006250,NA,14621,NA
1543433,1543433,Tokaanu at Tokaanu Power House -Ratings,3048398,NA,1543433,NA
1543495,1543495,Waikato at Huntly Power Statio,3012542,NA,1543495,NA
1543496,1543496,Uptha Ck at Hillcrest,-1,NA,1543496,NA
2790,2790,Lake Taupo inflow,3043722,NA,2790,3048276
3436871,NA,NA,-1,NA,3436871,NA
3446051,NA,NA,-1,NA,3446051,NA
3446071,NA,NA,-1,NA,3446071,NA
3450001,NA,NA,-1,NA,3450001,NA
3519,3519,Waipapa at Diversion Outlet -Ratings,-1,NA,3519,NA
43419,43419,Waikato at Huntly Railway Br -River level,3012542,NA,43419,NA
46660,46660,Puketurua at Puketitoi -Ratings,1016904,NA,46660,NA
46661,46661,Puketurua at Backwater -Rating,1016904,NA,46661,NA
46692,46692,Pukerua at Lynpenny -Ratings,1017153,NA,46692,NA
4901,4901,Ngunguru at Dugmores Rock -Ratings,1015487,NA,4901,NA
52005,52005,Aorere at Salisbury Br -Ratings,10001766,NA,52005,NA
66612,66612,Heathcote at Buxton Tce -Rating,13047240,NA,66612,NA
68513,68513,Wilberforce at Oakden -River level,13038859,NA,68513,NA
68807,68807,Sth Ashburton Syphon at Sth Ashburton -Ratings,-1,NA,68807,NA
69303,69303,Rangitata Div Race at Montalto Drops -Ratings,-1,NA,69303,NA
69509,69509,Ohapi Ck at Milford Clandyboye Rd -River level,13064285,NA,69509,NA
69684,69684,Dobies Stm at Woolscour -River level,13063356,NA,69684,NA
71148,71148,Aviemore Spawning Race at Below Dam -River level,-1,NA,71148,NA
74342,74342,Big Stm at Mt Allen -River level,14057657,NA,74342,NA
74360,74360,Kintore Ck at Berridale -Ratings,14065491,NA,74360,NA
75250,75250,Manuherikia at Healeys Ck -Ratings,14017389,NA,75250,NA
91422,91422,Camp at Church -River level,12032532,NA,91422,NA
